CHEBI:32816	activates	CHEBI:18367
CHEBI:32816	activates	CHEBI:30744
CHEBI:32816	activates	CHEBI:422
CHEBI:32816	inhibits	LDHA
CHEBI:32816	inhibits	PC
CHEBI:4167	activates	CHEBI:4170
CHEBI:4167	inhibits	G6PC
CHEBI:4170	activates	CHEBI:15946
CHEBI:4170	activates	CHEBI:16077
CHEBI:4170	activates	CHEBI:4167
CHEBI:4170	inhibits	G6PC
CHEBI:4170	inhibits	GPI
CHEBI:4170	inhibits	PGM1
CHEBI:422	activates	CHEBI:15378
CHEBI:422	activates	CHEBI:16908
CHEBI:422	activates	CHEBI:32816
CHEBI:422	inhibits	LDHA
CHEBI:44897	activates	CHEBI:15996
CHEBI:44897	activates	CHEBI:17835
CHEBI:44897	activates	CHEBI:30744
CHEBI:44897	inhibits	ENO1
CHEBI:44897	inhibits	PCK1
CHEBI:6650	activates	CHEBI:15378
CHEBI:6650	activates	CHEBI:16908
CHEBI:6650	activates	CHEBI:30744
CHEBI:6650	inhibits	MDH2
CHEBI:89363	inhibits	BPGM
CHEBI:89363	activates	CHEBI:15846
CHEBI:89363	activates	CHEBI:17138
CHEBI:89363	activates	CHEBI:17720
CHEBI:89363	activates	CHEBI:26078
CHEBI:89363	inhibits	GAPDH
ENO1	activates	CHEBI:17835
ENO1	activates	CHEBI:44897
ENO1	activates	PCK1
ENO1	activates	PGAM2
FBP1	activates	CHEBI:15946
FBP1	activates	CHEBI:18367
FBP1	activates	GPI
G6PC	activates	CHEBI:4167
G6PC	activates	CHEBI:4170
G6PC	activates	GPI
G6PC	activates	PGM1
G6PC	activates	SLC2A2
G6PC	activates	SLC37A4
GALM	activates	CHEBI:15903
GALM	activates	CHEBI:17925
GALM	activates	HK2
GAPDH	activates	ALDOA
GAPDH	activates	BPGM
GAPDH	activates	CHEBI:15846
GAPDH	activates	CHEBI:16908
GAPDH	activates	CHEBI:17138
GAPDH	activates	CHEBI:26078
GAPDH	activates	CHEBI:89363
GAPDH	activates	LDHA
GAPDH	activates	MDH2
GAPDH	activates	TPI1
GPI	activates	CHEBI:15946
GPI	activates	CHEBI:17719
GPI	activates	CHEBI:4170
GPI	activates	G6PC
GPI	activates	PGM1
GPI	activates	SLC37A4
HK2	activates	CHEBI:17719
HK2	activates	CHEBI:4170
HK2	activates	G6PC
HK2	activates	GPI
HK2	activates	PGM1
HK2	activates	SLC37A4
LDHA	activates	CHEBI:15378
LDHA	activates	CHEBI:15846
LDHA	activates	CHEBI:16908
LDHA	activates	CHEBI:32816
LDHA	activates	CHEBI:422
LDHA	activates	GAPDH
LDHA	activates	MDH2
LDHA	activates	MPC1
LDHA	activates	PC
MDH2	activates	CHEBI:15378
MDH2	activates	CHEBI:15846
MDH2	activates	CHEBI:16908
MDH2	activates	CHEBI:30744
MDH2	activates	CHEBI:6650
MDH2	activates	GAPDH
MDH2	activates	LDHA
MDH2	activates	PCK1
MDH2	activates	SLC25A11
MPC1	inhibits	CHEBI:32816
MPC1	activates	PC
PANK1	activates	BPGM
PANK1	activates	CHEBI:89363
PANK1	activates	GAPDH
PC	activates	CHEBI:16761
PC	activates	CHEBI:18367
PC	activates	CHEBI:30744
PCK1	activates	CHEBI:15996
PCK1	activates	CHEBI:16526
PCK1	activates	CHEBI:17552
PCK1	activates	CHEBI:30744
PCK1	activates	CHEBI:44897
PCK1	activates	ENO1
PCK1	activates	MDH2
PC	activates	MDH2
PC	activates	PCK1
PGAM1	activates	BPGM
PGAM1	activates	CHEBI:17050
PGAM1	activates	CHEBI:17720
PGAM1	activates	PANK1
PGAM1	activates	PGAM2
PGAM2	activates	BPGM
PGAM2	activates	CHEBI:17050
PGAM2	activates	CHEBI:17835
PGAM2	activates	ENO1
PGAM2	activates	PANK1
PGAM2	activates	PGAM1
PGM1	activates	CHEBI:16077
PGM1	activates	CHEBI:4170
PGM1	activates	G6PC
PGM1	activates	GPI
PGM1	activates	SLC37A4
SLC25A11	inhibits	CHEBI:30915
SLC25A11	inhibits	CHEBI:6650
SLC37A4	inhibits	CHEBI:4170
TPI1	activates	ALDOA
TPI1	activates	CHEBI:16108
TPI1	activates	CHEBI:17138
TPI1	activates	GAPDH
